timestamp_s,relative_exertion,mix,ep_target_weight,sustained_energy
18.388,0.1622,0.9994,1.0000,0.7498
18.438,0.1255,0.9994,0.9996,0.6952
18.489,0.1993,0.9994,1.0000,0.7457
18.539,0.3302,0.9994,1.0000,0.7943
18.589,0.2838,0.9994,1.0000,0.7856
18.640,0.2579,0.9994,1.0000,0.7944
18.690,0.2954,0.9995,1.0000,0.7814
18.740,0.2765,0.9995,1.0000,0.7825
18.791,0.2056,0.9995,1.0000,0.7758
18.841,0.2144,0.9995,1.0000,0.7639
18.891,0.2498,0.9996,1.0000,0.7456
18.941,0.1875,0.9994,1.0000,0.7419
18.991,0.1490,0.9994,1.0000,0.7840
19.045,0.1205,0.9994,1.0000,0.7920
19.091,0.2176,0.9995,1.0000,0.7831
19.141,0.2322,0.9995,1.0000,0.7901
19.191,0.2250,0.9995,1.0000,0.7826
19.241,0.2609,0.9995,1.0000,0.7479
19.291,0.2661,0.9995,1.0000,0.7176
19.341,0.2005,0.9996,1.0000,0.7569
19.390,0.1902,0.9996,1.0000,0.7582
19.441,0.2826,0.9996,1.0000,0.8043
19.491,0.3081,0.9996,1.0000,0.8038
19.541,0.2920,0.9996,1.0000,0.7920
19.595,0.2834,0.9996,1.0000,0.7893
19.641,0.2944,0.9997,1.0000,0.7786
19.690,0.2375,0.9997,1.0000,0.7521
19.742,0.1675,0.9996,0.9986,0.6913
19.792,0.1927,0.9997,1.0000,0.7258
19.842,0.2403,0.9997,1.0000,0.7041
19.892,0.2261,0.9997,1.0000,0.7598
19.942,0.2186,0.9997,1.0000,0.7814
19.993,0.2486,0.9997,1.0000,0.7733
20.043,0.2512,0.9997,1.0000,0.7885
20.094,0.2363,0.9997,1.0000,0.8053
20.144,0.2212,0.9997,1.0000,0.8057
20.195,0.2710,0.9997,1.0000,0.7306
20.245,0.2471,0.9997,1.0000,0.7452
20.295,0.2059,0.9997,1.0000,0.7740
20.345,0.2940,0.9998,1.0000,0.7746
20.396,0.4540,0.9998,1.0000,0.8180
20.446,0.3371,0.9998,1.0000,0.8183
20.496,0.2941,0.9998,1.0000,0.7982
20.546,0.3128,0.9998,1.0000,0.7774
20.601,0.3088,0.9998,1.0000,0.7808
20.647,0.1433,0.9998,1.0000,0.7663
20.698,0.1054,0.9998,1.0000,0.7556
20.748,0.1523,0.9998,1.0000,0.7103
20.798,0.1429,0.9998,1.0000,0.6994
20.848,0.1293,0.9998,1.0000,0.7658
20.899,0.1805,0.9998,1.0000,0.7807
20.949,0.2153,0.9999,1.0000,0.7846
21.000,0.2033,0.9999,1.0000,0.7910
21.050,0.1829,0.9999,1.0000,0.8044
21.101,0.2310,0.9999,1.0000,0.7866
21.151,0.2460,0.9999,1.0000,0.7264
21.201,0.1889,0.9999,1.0000,0.7468
21.251,0.1712,0.9999,1.0000,0.7462
21.301,0.2536,0.9999,1.0000,0.7861
21.352,0.2894,0.9999,1.0000,0.8043
21.402,0.2748,0.9999,1.0000,0.7883
21.453,0.2720,0.9999,1.0000,0.7871
21.503,0.3239,0.9999,1.0000,0.7792
21.553,0.2584,0.9999,1.0000,0.7685
21.609,0.2231,0.9999,1.0000,0.7345
21.655,0.2205,0.9999,1.0000,0.7287
21.705,0.2399,0.9999,1.0000,0.7383
21.757,0.2103,0.9999,1.0000,0.7608
21.807,0.2035,0.9999,1.0000,0.7890
21.858,0.2603,0.9999,1.0000,0.7849
21.909,0.2348,0.9999,1.0000,0.7936
21.959,0.2146,0.9999,1.0000,0.8112
22.009,0.2026,0.9999,1.0000,0.8082
22.060,0.2631,0.9999,1.0000,0.7477
22.111,0.2508,0.9999,1.0000,0.7327
22.164,0.2286,0.9999,1.0000,0.7286
22.214,0.2405,0.9999,1.0000,0.7539
22.265,0.2310,0.9999,1.0000,0.7980
22.316,0.0906,0.9999,1.0000,0.7848
22.366,0.0633,0.9999,1.0000,0.7719
22.418,0.1340,0.9999,1.0000,0.7105
22.468,0.1502,0.9999,1.0000,0.7115
22.518,0.1497,0.9999,1.0000,0.7263
22.569,0.2501,0.9999,1.0000,0.7145
22.619,0.3051,0.9999,0.9999,0.6981
22.669,0.3141,0.9992,0.9749,0.6622
22.719,0.2922,0.9992,1.0000,0.7493
22.769,0.3477,0.9993,1.0000,0.7602
22.819,0.3322,0.9993,1.0000,0.7509
22.869,0.2311,0.9993,1.0000,0.7695
22.920,0.2149,0.9993,1.0000,0.7800
22.970,0.2988,0.9994,1.0000,0.7687
23.020,0.2775,0.9994,1.0000,0.7097
23.070,0.2574,0.9994,1.0000,0.7431
23.125,0.2392,0.9994,1.0000,0.7405
23.171,0.2634,0.9995,1.0000,0.7803
23.221,0.1980,0.9995,1.0000,0.7905
23.272,0.1418,0.9995,1.0000,0.7730
23.323,0.1766,0.9995,1.0000,0.7705
23.374,0.2746,0.9995,1.0000,0.7603
23.424,0.1983,0.9996,1.0000,0.7259
23.475,0.1859,0.9991,0.9843,0.6703
23.530,0.2403,0.9985,0.9786,0.6652
23.575,0.2776,0.9983,0.9910,0.6777
23.625,0.2503,0.9976,0.9749,0.6622
23.676,0.2425,0.9978,1.0000,0.7451
23.726,0.2685,0.9978,1.0000,0.7401
23.776,0.2238,0.9979,1.0000,0.7346
23.826,0.1702,0.9980,1.0000,0.7028
23.877,0.1765,0.9981,1.0000,0.7045
23.927,0.2766,0.9981,0.9997,0.6958
23.977,0.2569,0.9964,0.9731,0.6608
24.027,0.2353,0.9965,0.9998,0.6968
24.077,0.2251,0.9965,0.9963,0.6859
24.127,0.1418,0.9967,1.0000,0.7497
24.177,0.0847,0.9968,1.0000,0.7558
24.230,0.0767,0.9970,1.0000,0.7374
24.281,0.1417,0.9971,1.0000,0.7265
